station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 08:24:04.398,0.326,S,0.01
C,2017-03-03 08:24:37.848,0.439,S,0.01
C,2017-03-03 08:25:01.118,0.434,S,0.01
C,2017-03-03 08:26:42.808,0.73,S,0.01
C,2017-03-03 08:27:16.108,0.652,S,0.01
C,2017-03-03 08:29:10.798,0.365,S,0.01
C,2017-03-03 08:31:20.878,0.416,S,0.01
C,2017-03-03 08:32:22.678,0.367,S,0.01
C,2017-03-03 08:34:04.358,0.323,S,0.01
C,2017-03-03 08:35:33.288,0.503,S,0.01
C,2017-03-03 08:37:16.478,0.323,S,0.01
C,2017-03-03 08:37:25.098,0.317,S,0.01
C,2017-03-03 08:37:25.658,0.342,S,0.01
C,2017-03-03 08:38:09.408,0.468,S,0.01
C,2017-03-03 08:40:42.298,0.424,S,0.01
C,2017-03-03 08:42:56.878,0.312,S,0.01
C,2017-03-03 08:45:21.518,0.336,S,0.01
C,2017-03-03 08:46:18.318,0.361,S,0.01
C,2017-03-03 08:47:01.518,0.347,S,0.01
C,2017-03-03 08:47:49.978,0.389,S,0.01
C,2017-03-03 08:49:11.028,0.366,S,0.01
C,2017-03-03 08:49:17.438,0.3,S,0.01
C,2017-03-03 08:50:23.858,0.363,S,0.01
C,2017-03-03 08:50:42.458,0.345,S,0.01
C,2017-03-03 08:53:25.338,0.407,S,0.01
C,2017-03-03 08:54:52.218,0.621,S,0.01
C,2017-03-03 08:55:49.418,0.409,S,0.01
C,2017-03-03 08:59:59.178,0.484,S,0.01
C,2017-03-03 09:00:28.438,0.431,S,0.01
C,2017-03-03 09:01:31.028,0.723,S,0.01
C,2017-03-03 09:02:22.938,0.388,S,0.01
C,2017-03-03 09:04:34.138,0.588,S,0.01
C,2017-03-03 09:07:01.348,0.452,S,0.01
C,2017-03-03 09:07:11.738,0.343,S,0.01
C,2017-03-03 09:07:16.538,0.358,S,0.01
C,2017-03-03 09:08:01.618,0.348,S,0.01
C,2017-03-03 09:10:42.318,0.319,S,0.01
C,2017-03-03 09:12:46.678,0.307,S,0.01
C,2017-03-03 09:13:06.858,0.435,S,0.01
C,2017-03-03 09:13:49.938,0.461,S,0.01
C,2017-03-03 09:20:13.798,0.399,S,0.01
C,2017-03-03 09:26:18.798,0.405,S,0.01
C,2017-03-03 09:31:55.498,0.766,S,0.01
C,2017-03-03 09:33:39.658,0.448,S,0.01
C,2017-03-03 09:33:45.338,0.508,S,0.01
C,2017-03-03 09:34:30.358,0.399,S,0.01
C,2017-03-03 09:35:06.568,0.62,S,0.01
C,2017-03-03 09:35:35.348,0.335,S,0.01
C,2017-03-03 09:37:16.338,0.339,S,0.01
C,2017-03-03 09:37:54.368,0.361,S,0.01
C,2017-03-03 09:38:23.128,0.317,S,0.01
C,2017-03-03 09:38:42.398,0.383,S,0.01
C,2017-03-03 09:39:30.178,0.408,S,0.01
C,2017-03-03 09:40:52.358,0.672,S,0.01
C,2017-03-03 09:44:10.558,0.326,S,0.01
C,2017-03-03 09:46:13.078,0.405,S,0.01
C,2017-03-03 09:46:32.758,0.409,S,0.01
C,2017-03-03 09:48:13.438,0.414,S,0.01
C,2017-03-03 09:48:52.298,0.698,S,0.01
C,2017-03-03 09:49:25.608,0.483,S,0.01
C,2017-03-03 09:49:54.358,0.471,S,0.01
C,2017-03-03 09:50:23.048,0.545,S,0.01
C,2017-03-03 09:51:59.578,0.673,S,0.01
C,2017-03-03 09:56:37.288,0.563,S,0.01
C,2017-03-03 09:57:18.398,0.362,S,0.01
C,2017-03-03 09:59:11.338,0.432,S,0.01
C,2017-03-03 10:07:45.738,0.544,S,0.01
C,2017-03-03 10:08:13.948,0.631,S,0.01
C,2017-03-03 10:08:32.488,0.461,S,0.01
C,2017-03-03 10:09:12.358,0.309,S,0.01
C,2017-03-03 10:09:21.038,0.307,S,0.01
C,2017-03-03 10:12:13.338,0.52,S,0.01
C,2017-03-03 10:14:32.698,0.589,S,0.01
C,2017-03-03 10:25:40.058,0.44,S,0.01
C,2017-03-03 10:28:52.218,0.485,S,0.01
C,2017-03-03 10:31:39.898,0.313,S,0.01
C,2017-03-03 10:33:06.688,0.313,S,0.01
C,2017-03-03 10:33:58.798,0.362,S,0.01
C,2017-03-03 10:35:16.168,0.566,S,0.01
C,2017-03-03 10:37:54.678,0.419,S,0.01
C,2017-03-03 10:38:23.418,0.74,S,0.01
C,2017-03-03 10:40:52.088,0.391,S,0.01
C,2017-03-03 10:43:06.298,0.57,S,0.01
C,2017-03-03 10:45:39.888,0.368,S,0.01
C,2017-03-03 10:45:59.738,0.643,S,0.01
C,2017-03-03 10:50:42.808,0.429,S,0.01
C,2017-03-03 10:52:15.998,0.418,S,0.01
C,2017-03-03 10:54:23.758,0.389,S,0.01
C,2017-03-03 10:54:28.638,0.451,S,0.01
C,2017-03-03 10:57:34.838,0.303,S,0.01
C,2017-03-03 11:01:30.088,0.636,S,0.01
C,2017-03-03 11:10:56.778,0.413,S,0.01
C,2017-03-03 11:11:50.058,0.553,S,0.01
C,2017-03-03 11:12:28.138,0.738,S,0.01
C,2017-03-03 11:12:42.858,0.496,S,0.01
C,2017-03-03 11:13:59.598,0.373,S,0.01
C,2017-03-03 11:14:08.878,0.314,S,0.01
C,2017-03-03 11:16:13.538,0.544,S,0.01
C,2017-03-03 11:17:02.518,0.356,S,0.01
C,2017-03-03 11:17:59.518,0.302,S,0.01
C,2017-03-03 11:19:59.718,0.421,S,0.01
C,2017-03-03 11:21:39.738,0.546,S,0.01
C,2017-03-03 11:23:20.538,0.448,S,0.01
C,2017-03-03 11:24:33.038,0.302,S,0.01
C,2017-03-03 11:27:45.178,0.783,S,0.01
C,2017-03-03 11:30:18.078,0.311,S,0.01
C,2017-03-03 11:32:42.798,0.382,S,0.01
C,2017-03-03 11:33:01.928,0.452,S,0.01
C,2017-03-03 11:33:21.118,0.435,S,0.01
C,2017-03-03 11:34:33.018,0.409,S,0.01
