index,network,station,location,instrument,component,sensitivity,latitude,longitude,elevation_m,depth_km,x_km,y_km,z_km,provider
GS.LV1H..HN,GS,LV1H,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.658939,-121.793945,200.0,-0.2,-202.41,20.112,-0.2,NC
GS.MCA04.00.HH,GS,MCA04,00,HH,12Z,"[468849000.0, 468849000.0, 468849000.0]",38.07672,-117.7085,1661.5,-1.6615,157.19,65.518,-1.662,NC
GS.MCA04.20.HN,GS,MCA04,20,HN,12Z,"[636633.0, 636633.0, 636633.0]",38.07672,-117.7085,1661.5,-1.6615,157.19,65.518,-1.662,NC
GS.MR01..HN,GS,MR01,,HN,12Z,"[427987.0, 427987.0, 427987.0]",38.005661,-122.078003,33.0,-0.033,-226.415,59.244,-0.033,NC
GS.PH05..HN,GS,PH05,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.967964,-122.078102,24.0,-0.024,-226.539,55.06,-0.024,NC
GS.SN13.00.HH,GS,SN13,00,HH,12Z,"[471366000.0, 471366000.0, 471366000.0]",38.342049,-122.313789,26.8,-0.0268,-245.996,97.178,-0.027,NC
GS.SN13.20.HN,GS,SN13,20,HN,12Z,"[641725.0, 641725.0, 641725.0, 641725.0, 641725.0, 641725.0]",38.342049,-122.313789,26.8,-0.0268,-245.996,97.178,-0.027,NC
GS.SN14.00.HH,GS,SN14,00,HH,12Z,"[471366000.0, 471366000.0, 471366000.0]",38.33326,-122.307953,18.3,-0.0183,-245.516,96.187,-0.018,NC
GS.SN14.20.HN,GS,SN14,20,HN,12Z,"[641725.0, 641725.0, 641725.0, 641725.0, 641725.0, 641725.0]",38.33326,-122.307953,18.3,-0.0183,-245.516,96.187,-0.018,NC
GS.SN15.00.HH,GS,SN15,00,HH,12Z,"[471366000.0, 471366000.0, 471366000.0]",38.324844,-122.300774,15.2,-0.0152,-244.916,95.234,-0.015,NC
GS.SN15.20.HN,GS,SN15,20,HN,12Z,"[641725.0, 641725.0, 641725.0]",38.324844,-122.300774,15.2,-0.0152,-244.916,95.234,-0.015,NC
GS.SN16.00.HH,GS,SN16,00,HH,12Z,"[471366000.0, 471366000.0, 471366000.0]",38.317223,-122.298615,15.2,-0.0152,-244.753,94.382,-0.015,NC
GS.SN16.20.HN,GS,SN16,20,HN,12Z,"[320894.0, 320894.0, 320894.0]",38.317223,-122.298615,15.2,-0.0152,-244.753,94.382,-0.015,NC
GS.SN17.00.HH,GS,SN17,00,HH,12Z,"[471366000.0, 471366000.0, 471366000.0]",38.287579,-122.294144,22.9,-0.0229,-244.46,91.08,-0.023,NC
GS.SN17.20.HN,GS,SN17,20,HN,12Z,"[641725.0, 641725.0, 641725.0]",38.287579,-122.294144,22.9,-0.0229,-244.46,91.08,-0.023,NC
GS.SN18.00.HH,GS,SN18,00,HH,12Z,"[471366000.0, 471366000.0, 471366000.0, 471366000.0, 471366000.0, 471366000.0]",38.278099,-122.292259,5.8,-0.0058,-244.327,90.023,-0.006,NC
GS.SN18.20.HN,GS,SN18,20,HN,12Z,"[641725.0, 641725.0, 641725.0]",38.278099,-122.292259,5.8,-0.0058,-244.327,90.023,-0.006,NC
GS.SR1B..HN,GS,SR1B,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.769348,-121.932907,150.0,-0.15,-214.353,32.674,-0.15,NC
GS.SR1C..HN,GS,SR1C,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.751816,-121.95546,106.0,-0.106,-216.391,30.78,-0.106,NC
GS.WC01..HN,GS,WC01,,HN,12Z,"[427987.0, 427987.0, 427987.0]",37.886761,-122.084167,58.0,-0.058,-227.32,46.062,-0.058,NC
GS.WC10..HN,GS,WC10,,HN,12Z,"[427987.0, 427987.0, 427987.0, 427987.0, 427987.0, 427987.0]",37.908352,-122.001625,67.0,-0.067,-219.996,48.261,-0.067,NC
LA.DHB.N1.EH,LA,DHB,N1,EH,Z,[1.0],34.01236,-118.387711,-1467.0,1.467,102.838,-386.505,1.467,NC
LA.GFP.N1.EH,LA,GFP,N1,EH,Z,[1.0],34.131649,-118.319778,339.0,-0.339,108.96,-373.188,-0.339,NC
